{Building: Enterprise Square, Campus: Enterprise Square, Floor: Level -1, Room: X, Centroid: (424.7562, 326.26146)}
{Building: Enterprise Square, Campus: Enterprise Square, Floor: Level -1, Room: X, Centroid: (379.6895, -81.89435)}
{Building: Enterprise Square, Campus: Enterprise Square, Floor: Level -1, Room: X, Centroid: (-461.87303, -32.18553)}
{Building: Enterprise Square, Campus: Enterprise Square, Floor: Level -1, Room: X, Centroid: (-54.49471, -47.99279)}
{Building: Enterprise Square, Campus: Enterprise Square, Floor: Level -1, Room: X, Centroid: (133.26664, -490.93006)}
{Building: Enterprise Square, Campus: Enterprise Square, Floor: Level -1, Room: X, Centroid: (-226.22508, -400.02575)}
{Building: Enterprise Square, Campus: Enterprise Square, Floor: Level -1, Room: X, Centroid: (-581.11323, -95.81502)}
{Building: Enterprise Square, Campus: Enterprise Square, Floor: Level -1, Room: X, Centroid: (-520.16207, 392.75677)}
{Building: Enterprise Square, Campus: Enterprise Square, Floor: Level -1, Room: X, Centroid: (234.61973, -207.20744)}
{Building: Enterprise Square, Campus: Enterprise Square, Floor: Level -1, Room: X, Centroid: (467.17621, -26.6692)}
{Building: Enterprise Square, Campus: Enterprise Square, Floor: Level -1, Room: X, Centroid: (464.6231, 474.77314)}
{Building: Enterprise Square, Campus: Enterprise Square, Floor: Level -1, Room: X, Centroid: (-226.17814, 476.85026)}
{Building: Enterprise Square, Campus: Enterprise Square, Floor: Level -1, Room: X, Centroid: (-133.93668, -400.02575)}
{Building: Enterprise Square, Campus: Enterprise Square, Floor: Level -1, Room: X, Centroid: (559.22763, -388.52696)}
{Building: Enterprise Square, Campus: Enterprise Square, Floor: Level -1, Room: X, Centroid: (129.83716, -36.35046)}
{Building: Enterprise Square, Campus: Enterprise Square, Floor: Level -1, Room: X, Centroid: (579.48413, -119.17013)}
{Building: Enterprise Square, Campus: Enterprise Square, Floor: Level -1, Room: X, Centroid: (467.17621, -194.97302)}
{Building: Enterprise Square, Campus: Enterprise Square, Floor: Level -1, Room: X, Centroid: (-243.45603, 302.37028)}
{Building: Enterprise Square, Campus: Enterprise Square, Floor: Level -1, Room: None, Centroid: None}
{Building: Enterprise Square, Campus: Enterprise Square, Floor: Level 1, Room: 1-001, Centroid: (-52.85377, -307.66774)}
{Building: Enterprise Square, Campus: Enterprise Square, Floor: Level 1, Room: 1-003, Centroid: (-13.19331, -233.81393)}
{Building: Enterprise Square, Campus: Enterprise Square, Floor: Level 1, Room: 1-005, Centroid: (53.80317, -166.66297)}
{Building: Enterprise Square, Campus: Enterprise Square, Floor: Level 1, Room: 1-051, Centroid: (385.80457, 102.23567)}
{Building: Enterprise Square, Campus: Enterprise Square, Floor: Level 1, Room: Fantasia Cafe, Centroid: (140.53279, 0.1019)}
{Building: Enterprise Square, Campus: Enterprise Square, Floor: Level 1, Room: 1-165, Centroid: (258.63908, 71.00826)}
{Building: Enterprise Square, Campus: Enterprise Square, Floor: Level 1, Room: 1-350, Centroid: (-542.6673, 94.13379)}
{Building: Enterprise Square, Campus: Enterprise Square, Floor: Level 1, Room: Exhibit Area, Centroid: (-216.91017, 72.46669)}
{Building: Enterprise Square, Campus: Enterprise Square, Floor: Level 1, Room: 1-500, Centroid: (-471.34345, -441.22691)}
{Building: Enterprise Square, Campus: Enterprise Square, Floor: Level 1, Room: Elevator, Centroid: (-568.72019, 421.25917)}
{Building: Enterprise Square, Campus: Enterprise Square, Floor: Level 1, Room: Elevator, Centroid: (-148.12868, -140.25895)}
{Building: Enterprise Square, Campus: Enterprise Square, Floor: Level 1, Room: Elevator, Centroid: (-85.47037, -57.58147)}
{Building: Enterprise Square, Campus: Enterprise Square, Floor: Level 1, Room: Enterprise Square Gallery, Centroid: (26.75474, 427.00393)}
{Building: Enterprise Square, Campus: Enterprise Square, Floor: Level 1, Room: Escalators, Centroid: (256.22583, 210.55837)}
{Building: Enterprise Square, Campus: Enterprise Square, Floor: Level 1, Room: Escalators, Centroid: (-255.81059, -220.90681)}
{Building: Enterprise Square, Campus: Enterprise Square, Floor: Level 1, Room: Hallway, Centroid: (-503.37942, 392.21273)}
{Building: Enterprise Square, Campus: Enterprise Square, Floor: Level 1, Room: Hallway, Centroid: (-108.0927, 25.05444)}
{Building: Enterprise Square, Campus: Enterprise Square, Floor: Level 1, Room: Hallway, Centroid: (297.16095, 165.55784)}
{Building: Enterprise Square, Campus: Enterprise Square, Floor: Level 1, Room: Hallway, Centroid: (-62.21589, -161.65207)}
{Building: Enterprise Square, Campus: Enterprise Square, Floor: Level 1, Room: Hallway, Centroid: (573.28111, -242.53931)}
{Building: Enterprise Square, Campus: Enterprise Square, Floor: Level 1, Room: Registration Office, Centroid: (-193.97622, -322.13246)}
{Building: Enterprise Square, Campus: Enterprise Square, Floor: Level 1, Room: Stairs, Centroid: (-575.08567, -52.81786)}
{Building: Enterprise Square, Campus: Enterprise Square, Floor: Level 1, Room: Stairs, Centroid: (-575.44746, 314.59089)}
{Building: Enterprise Square, Campus: Enterprise Square, Floor: Level 1, Room: Stairs, Centroid: (575.17945, -54.73545)}
{Building: Enterprise Square, Campus: Enterprise Square, Floor: Level 1, Room: Stairs, Centroid: (-576.04374, -152.57339)}
{Building: Enterprise Square, Campus: Enterprise Square, Floor: Level 1, Room: Stairs, Centroid: (554.97481, 328.5744)}
{Building: Enterprise Square, Campus: Enterprise Square, Floor: Level 1, Room: Stairs, Centroid: (-123.23836, -535.54646)}
{Building: Enterprise Square, Campus: Enterprise Square, Floor: Level 1, Room: Stairs, Centroid: (575.90194, -154.91806)}
{Building: Enterprise Square, Campus: Enterprise Square, Floor: Level 1, Room: Stairs, Centroid: (-575.08567, -319.71336)}
{Building: Enterprise Square, Campus: Enterprise Square, Floor: Level 1, Room: Washroom Men, Centroid: (-362.78393, 141.17826)}
{Building: Enterprise Square, Campus: Enterprise Square, Floor: Level 1, Room: Washroom Women, Centroid: (-309.7825, 141.17826)}
{Building: Enterprise Square, Campus: Enterprise Square, Floor: Level 1, Room: X, Centroid: (-425.86268, -12.71905)}
{Building: Enterprise Square, Campus: Enterprise Square, Floor: Level 1, Room: X, Centroid: (195.71227, -411.53574)}
{Building: Enterprise Square, Campus: Enterprise Square, Floor: Level 1, Room: X, Centroid: (-71.02207, -65.48391)}
{Building: Enterprise Square, Campus: Enterprise Square, Floor: Level 1, Room: X, Centroid: (-533.07474, 332.64605)}
{Building: Enterprise Square, Campus: Enterprise Square, Floor: Level 1, Room: X, Centroid: (380.49958, -63.69471)}
{Building: Enterprise Square, Campus: Enterprise Square, Floor: Level 1, Room: None, Centroid: None}
{Building: Enterprise Square, Campus: Enterprise Square, Floor: Level 2, Room: 2-006 to 2-154, Centroid: (200.64188, -12.1887)}
{Building: Enterprise Square, Campus: Enterprise Square, Floor: Level 2, Room: 2-039 2-210 2-256, Centroid: (-192.76113, 127.10164)}
{Building: Enterprise Square, Campus: Enterprise Square, Floor: Level 2, Room: 2-149, Centroid: (394.01669, 137.23503)}
{Building: Enterprise Square, Campus: Enterprise Square, Floor: Level 2, Room: 2-157, Centroid: (496.63536, 123.20122)}
