{Building: Enterprise Square, Campus: Enterprise Square, Floor: Level 3, Room: 3-558 - 3-562, Centroid: (-289.63272, -319.60321)}
{Building: Enterprise Square, Campus: Enterprise Square, Floor: Level 3, Room: 3-507 - 3-563, Centroid: (-289.63272, -396.89604)}
{Building: Enterprise Square, Campus: Enterprise Square, Floor: Level 3, Room: 3-600, Centroid: (19.5751, -238.35863)}
{Building: Enterprise Square, Campus: Enterprise Square, Floor: Level 3, Room: 3-602, Centroid: (106.27413, -238.35863)}
{Building: Enterprise Square, Campus: Enterprise Square, Floor: Level 3, Room: 3-605, Centroid: (114.69647, -312.73809)}
{Building: Enterprise Square, Campus: Enterprise Square, Floor: Level 3, Room: 3-608, Centroid: (170.72613, -238.35863)}
{Building: Enterprise Square, Campus: Enterprise Square, Floor: Level 3, Room: 3-610, Centroid: (206.71185, -238.35863)}
{Building: Enterprise Square, Campus: Enterprise Square, Floor: Level 3, Room: 3-615, Centroid: (282.87783, -304.50688)}
{Building: Enterprise Square, Campus: Enterprise Square, Floor: Level 3, Room: 3-621,3-623, Centroid: (381.9727, -302.26148)}
{Building: Enterprise Square, Campus: Enterprise Square, Floor: Level 3, Room: 3-625 - 3-629, Centroid: (381.9727, -364.12507)}
{Building: Enterprise Square, Campus: Enterprise Square, Floor: Level 3, Room: 3-630 - 3-636, Centroid: (210.59131, -352.88132)}
{Building: Enterprise Square, Campus: Enterprise Square, Floor: Level 3, Room: 3-637,3-639, Centroid: (381.9727, -441.49553)}
{Building: Enterprise Square, Campus: Enterprise Square, Floor: Level 3, Room: 3-640 - 3-648, Centroid: (227.93879, -408.24228)}
{Building: Enterprise Square, Campus: Enterprise Square, Floor: Level 3, Room: 3-641 - 3-658, Centroid: (276.42116, -465.98158)}
{Building: Enterprise Square, Campus: Enterprise Square, Floor: Level 3, Room: 3-647 - 3-664, Centroid: (178.09146, -465.98158)}
{Building: Enterprise Square, Campus: Enterprise Square, Floor: Level 3, Room: 3-651 - 3-655, Centroid: (381.9727, -519.83072)}
{Building: Enterprise Square, Campus: Enterprise Square, Floor: Level 3, Room: 3-657 - 3-665, Centroid: (227.93879, -533.49493)}
{Building: Enterprise Square, Campus: Enterprise Square, Floor: Level 3, Room: 3-667 - 3-670, Centroid: (97.37832, -474.41541)}
{Building: Enterprise Square, Campus: Enterprise Square, Floor: Level 3, Room: 3-675, Centroid: (37.44181, -471.09579)}
{Building: Enterprise Square, Campus: Enterprise Square, Floor: Level 3, Room: 3-677, Centroid: (-35.86063, -471.09579)}
{Building: Enterprise Square, Campus: Enterprise Square, Floor: Level 3, Room: Building Outline, Centroid: (-0.00973, 0.67309)}
{Building: Enterprise Square, Campus: Enterprise Square, Floor: Level 3, Room: Elevator, Centroid: (-85.98439, -62.40526)}
{Building: Enterprise Square, Campus: Enterprise Square, Floor: Level 3, Room: Elevator, Centroid: (-147.10657, -135.77768)}
{Building: Enterprise Square, Campus: Enterprise Square, Floor: Level 3, Room: Hallway, Centroid: (291.41431, -361.32267)}
{Building: Enterprise Square, Campus: Enterprise Square, Floor: Level 3, Room: Hallway, Centroid: (-329.35826, -44.18399)}
{Building: Enterprise Square, Campus: Enterprise Square, Floor: Level 3, Room: Hallway, Centroid: (-467.72318, 300.22591)}
{Building: Enterprise Square, Campus: Enterprise Square, Floor: Level 3, Room: Hallway, Centroid: (227.77227, -469.40408)}
{Building: Enterprise Square, Campus: Enterprise Square, Floor: Level 3, Room: Hallway, Centroid: (107.592, 19.19695)}
{Building: Enterprise Square, Campus: Enterprise Square, Floor: Level 3, Room: Hallway, Centroid: (-445.48652, -478.82901)}
{Building: Enterprise Square, Campus: Enterprise Square, Floor: Level 3, Room: Hallway, Centroid: (-142.00344, 82.20661)}
{Building: Enterprise Square, Campus: Enterprise Square, Floor: Level 3, Room: Hallway, Centroid: (58.91791, 28.4791)}
{Building: Enterprise Square, Campus: Enterprise Square, Floor: Level 3, Room: Hallway, Centroid: (-425.45817, -378.67345)}
{Building: Enterprise Square, Campus: Enterprise Square, Floor: Level 3, Room: Hallway, Centroid: (-178.79221, 139.95227)}
{Building: Enterprise Square, Campus: Enterprise Square, Floor: Level 3, Room: Hallway, Centroid: (516.10912, 158.86884)}
{Building: Enterprise Square, Campus: Enterprise Square, Floor: Level 3, Room: Hallway, Centroid: (223.22252, -38.89624)}
{Building: Enterprise Square, Campus: Enterprise Square, Floor: Level 3, Room: Hallway, Centroid: (-148.62913, -408.52341)}
{Building: Enterprise Square, Campus: Enterprise Square, Floor: Level 3, Room: Hallway, Centroid: (393.0176, 7.26878)}
{Building: Enterprise Square, Campus: Enterprise Square, Floor: Level 3, Room: Hallway, Centroid: (253.93581, 180.06762)}
{Building: Enterprise Square, Campus: Enterprise Square, Floor: Level 3, Room: Hallway, Centroid: (496.2051, -105.68233)}
{Building: Enterprise Square, Campus: Enterprise Square, Floor: Level 3, Room: Hallway, Centroid: (-393.99571, -88.79111)}
{Building: Enterprise Square, Campus: Enterprise Square, Floor: Level 3, Room: Hallway, Centroid: (-486.46291, -288.61789)}
{Building: Enterprise Square, Campus: Enterprise Square, Floor: Level 3, Room: Hallway, Centroid: (246.28515, 483.18156)}
{Building: Enterprise Square, Campus: Enterprise Square, Floor: Level 3, Room: Hallway, Centroid: (481.26715, 324.72675)}
{Building: Enterprise Square, Campus: Enterprise Square, Floor: Level 3, Room: Hole, Centroid: (-256.51655, -228.03525)}
{Building: Enterprise Square, Campus: Enterprise Square, Floor: Level 3, Room: Hole, Centroid: (-94.83966, -0.17193)}
{Building: Enterprise Square, Campus: Enterprise Square, Floor: Level 3, Room: Hole, Centroid: (253.93581, 214.50181)}
{Building: Enterprise Square, Campus: Enterprise Square, Floor: Level 3, Room: Stairs, Centroid: (210.8313, 517.58539)}
{Building: Enterprise Square, Campus: Enterprise Square, Floor: Level 3, Room: Stairs, Centroid: (-573.27696, 335.34702)}
{Building: Enterprise Square, Campus: Enterprise Square, Floor: Level 3, Room: Stairs, Centroid: (568.68637, 325.66372)}
{Building: Enterprise Square, Campus: Enterprise Square, Floor: Level 3, Room: Stairs, Centroid: (-574.62649, -321.2098)}
{Building: Enterprise Square, Campus: Enterprise Square, Floor: Level 3, Room: Stairs, Centroid: (579.07648, -139.99961)}
{Building: Enterprise Square, Campus: Enterprise Square, Floor: Level 3, Room: Stairs, Centroid: (257.15207, 317.78813)}
{Building: Enterprise Square, Campus: Enterprise Square, Floor: Level 3, Room: Stairs, Centroid: (-136.69916, -378.99317)}
{Building: Enterprise Square, Campus: Enterprise Square, Floor: Level 3, Room: Stairs, Centroid: (565.00832, -41.69715)}
{Building: Enterprise Square, Campus: Enterprise Square, Floor: Level 3, Room: Stairs, Centroid: (-112.31615, -523.19576)}
{Building: Enterprise Square, Campus: Enterprise Square, Floor: Level 3, Room: Washroom Men, Centroid: (-393.99571, -41.42141)}
{Building: Enterprise Square, Campus: Enterprise Square, Floor: Level 3, Room: Washroom Men, Centroid: (393.0176, -38.60402)}
{Building: Enterprise Square, Campus: Enterprise Square, Floor: Level 3, Room: Washroom Women, Centroid: (-393.99571, -144.18614)}
{Building: Enterprise Square, Campus: Enterprise Square, Floor: Level 3, Room: Washroom Women, Centroid: (394.55354, -117.47911)}
{Building: Enterprise Square, Campus: Enterprise Square, Floor: Level 3, Room: X, Centroid: (-294.7556, 212.95509)}
{Building: Enterprise Square, Campus: Enterprise Square, Floor: Level 3, Room: X, Centroid: (471.29251, 298.4001)}
{Building: Enterprise Square, Campus: Enterprise Square, Floor: Level 3, Room: X, Centroid: (-167.73435, 429.31655)}
{Building: Enterprise Square, Campus: Enterprise Square, Floor: Level 3, Room: X, Centroid: (381.10671, -159.28022)}
{Building: Enterprise Square, Campus: Enterprise Square, Floor: Level 3, Room: X, Centroid: (-537.92608, -318.63339)}
{Building: Enterprise Square, Campus: Enterprise Square, Floor: Level 3, Room: X, Centroid: (-26.61776, -313.1193)}
{Building: Enterprise Square, Campus: Enterprise Square, Floor: Level 3, Room: X, Centroid: (-492.41242, 27.31632)}
{Building: Enterprise Square, Campus: Enterprise Square, Floor: Level 3, Room: X, Centroid: (-136.69916, -319.60321)}
{Building: Enterprise Square, Campus: Enterprise Square, Floor: Level 3, Room: X, Centroid: (338.62845, -238.35863)}
{Building: Enterprise Square, Campus: Enterprise Square, Floor: Level 3, Room: X, Centroid: (573.85302, 51.7786)}
{Building: Enterprise Square, Campus: Enterprise Square, Floor: Level 3, Room: X, Centroid: (218.3031, -92.02628)}
{Building: Enterprise Square, Campus: Enterprise Square, Floor: Level 3, Room: X, Centroid: (186.98299, -304.50688)}
{Building: Enterprise Square, Campus: Enterprise Square, Floor: Level 3, Room: X, Centroid: (65.39235, -145.3783)}
{Building: Enterprise Square, Campus: Enterprise Square, Floor: Level 3, Room: X, Centroid: (-301.04424, -67.14189)}
{Building: Enterprise Square, Campus: Enterprise Square, Floor: Level 3, Room: X, Centroid: (448.66583, 451.23641)}
{Building: Enterprise Square, Campus: Enterprise Square, Floor: Level 3, Room: X, Centroid: (-174.4276, -472.86506)}
{Building: Enterprise Square, Campus: Enterprise Square, Floor: Level 3, Room: X, Centroid: (300.17482, 112.66804)}
{Building: Enterprise Square, Campus: Enterprise Square, Floor: Level 3, Room: X, Centroid: (-1.0889, 232.67396)}
{Building: Enterprise Square, Campus: Enterprise Square, Floor: Level 3, Room: X, Centroid: (308.03578, -70.83173)}
{Building: Enterprise Square, Campus: Enterprise Square, Floor: Level 3, Room: X, Centroid: (465.73738, -73.34617)}
{Building: Enterprise Square, Campus: Enterprise Square, Floor: Level 3, Room: X, Centroid: (513.50592, -382.25922)}
{Building: Enterprise Square, Campus: Enterprise Square, Floor: Level 3, Room: X, Centroid: (-405.89812, -283.93383)}
{Building: Enterprise Square, Campus: Enterprise Square, Floor: Level 3, Room: None, Centroid: None}
{Building: Enterprise Square, Campus: Enterprise Square, Floor: Level 4, Room: 4-000, Centroid: (126.30703, -364.15226)}
{Building: Enterprise Square, Campus: Enterprise Square, Floor: Level 4, Room: 4-000, Centroid: (-0.0639, -419.879)}
{Building: Enterprise Square, Campus: Enterprise Square, Floor: Level 4, Room: 4000, Centroid: (47.90887, -290.07689)}
{Building: Enterprise Square, Campus: Enterprise Square, Floor: Level 4, Room: 4-000, Centroid: (287.2413, -397.25881)}
{Building: Enterprise Square, Campus: Enterprise Square, Floor: Level 4, Room: 4-000, Centroid: (359.31778, -293.18212)}
{Building: Enterprise Square, Campus: Enterprise Square, Floor: Level 4, Room: 4-000, Centroid: (183.73305, -299.73813)}
{Building: Enterprise Square, Campus: Enterprise Square, Floor: Level 4, Room: 4-005, Centroid: (43.03255, -56.30085)}
{Building: Enterprise Square, Campus: Enterprise Square, Floor: Level 4, Room: 4-006, Centroid: (122.34185, -16.15777)}
{Building: Enterprise Square, Campus: Enterprise Square, Floor: Level 4, Room: 4-007, Centroid: (122.34185, 20.22325)}
{Building: Enterprise Square, Campus: Enterprise Square, Floor: Level 4, Room: 4-008, Centroid: (122.34185, 56.60427)}
{Building: Enterprise Square, Campus: Enterprise Square, Floor: Level 4, Room: 4-010, Centroid: (-88.00388, -277.55212)}
{Building: Enterprise Square, Campus: Enterprise Square, Floor: Level 4, Room: 4-016, Centroid: (-30.00347, -277.55212)}
{Building: Enterprise Square, Campus: Enterprise Square, Floor: Level 4, Room: 4-170, Centroid: (411.50806, 265.32027)}
{Building: Enterprise Square, Campus: Enterprise Square, Floor: Level 4, Room: 4-213 - 4-219, Centroid: (-218.25282, 79.10689)}
{Building: Enterprise Square, Campus: Enterprise Square, Floor: Level 4, Room: 4-212 - 4-220, Centroid: (-190.62361, 132.34894)}
{Building: Enterprise Square, Campus: Enterprise Square, Floor: Level 4, Room: 4-227 - 4-236, Centroid: (-277.74878, -50.53427)}
{Building: Enterprise Square, Campus: Enterprise Square, Floor: Level 4, Room: 4-224 - 4-228, Centroid: (-239.91108, 41.14871)}
{Building: Enterprise Square, Campus: Enterprise Square, Floor: Level 4, Room: 4-356, Centroid: (-397.91377, -20.7821)}
{Building: Enterprise Square, Campus: Enterprise Square, Floor: Level 4, Room: 4-430,4-500, Centroid: (-399.85677, -387.93879)}
{Building: Enterprise Square, Campus: Enterprise Square, Floor: Level 4, Room: 4-570, Centroid: (-186.14086, -405.83414)}
{Building: Enterprise Square, Campus: Enterprise Square, Floor: Level 4, Room: Building Outline, Centroid: (-2.764, -20.25654)}
{Building: Enterprise Square, Campus: Enterprise Square, Floor: Level 4, Room: Elevator, Centroid: (-142.76243, -179.8249)}
{Building: Enterprise Square, Campus: Enterprise Square, Floor: Level 4, Room: Elevator, Centroid: (-87.82763, -101.59492)}
{Building: Enterprise Square, Campus: Enterprise Square, Floor: Level 4, Room: Elevator, Centroid: (-569.0218, 358.15933)}
{Building: Enterprise Square, Campus: Enterprise Square, Floor: Level 4, Room: Hallway, Centroid: (-177.43538, 36.51708)}
{Building: Enterprise Square, Campus: Enterprise Square, Floor: Level 4, Room: Hallway, Centroid: (268.91232, -354.19598)}
{Building: Enterprise Square, Campus: Enterprise Square, Floor: Level 4, Room: Hallway, Centroid: (-480.44043, -229.6006)}
{Building: Enterprise Square, Campus: Enterprise Square, Floor: Level 4, Room: Hallway, Centroid: (148.10185, 54.21124)}
{Building: Enterprise Square, Campus: Enterprise Square, Floor: Level 4, Room: Hallway, Centroid: (395.34934, -26.39369)}
{Building: Enterprise Square, Campus: Enterprise Square, Floor: Level 4, Room: Hallway, Centroid: (-133.27631, -267.14158)}
{Building: Enterprise Square, Campus: Enterprise Square, Floor: Level 4, Room: Hallway, Centroid: (-192.77117, -108.9016)}
{Building: Enterprise Square, Campus: Enterprise Square, Floor: Level 4, Room: Hallway, Centroid: (-503.88402, 290.37803)}
{Building: Enterprise Square, Campus: Enterprise Square, Floor: Level 4, Room: Hallway, Centroid: (208.29742, -439.32878)}
{Building: Enterprise Square, Campus: Enterprise Square, Floor: Level 4, Room: Hallway, Centroid: (474.86849, -224.27958)}
{Building: Enterprise Square, Campus: Enterprise Square, Floor: Level 4, Room: Hallway, Centroid: (264.66305, -285.81264)}
{Building: Enterprise Square, Campus: Enterprise Square, Floor: Level 4, Room: Hallway, Centroid: (463.97387, 282.11224)}
{Building: Enterprise Square, Campus: Enterprise Square, Floor: Level 4, Room: Hallway, Centroid: (-397.91377, -124.9642)}
{Building: Enterprise Square, Campus: Enterprise Square, Floor: Level 4, Room: Hole, Centroid: (-93.24947, -33.7319)}
{Building: Enterprise Square, Campus: Enterprise Square, Floor: Level 4, Room: Stairs, Centroid: (-582.19707, -182.61311)}
{Building: Enterprise Square, Campus: Enterprise Square, Floor: Level 4, Room: Stairs, Centroid: (-133.27631, -349.87315)}
{Building: Enterprise Square, Campus: Enterprise Square, Floor: Level 4, Room: Stairs, Centroid: (-569.0218, 308.85713)}
{Building: Enterprise Square, Campus: Enterprise Square, Floor: Level 4, Room: Stairs, Centroid: (177.15329, 284.53625)}
{Building: Enterprise Square, Campus: Enterprise Square, Floor: Level 4, Room: Stairs, Centroid: (572.16357, 288.82513)}
{Building: Enterprise Square, Campus: Enterprise Square, Floor: Level 4, Room: Stairs, Centroid: (582.36948, -180.96497)}
{Building: Enterprise Square, Campus: Enterprise Square, Floor: Level 4, Room: Washroom Men, Centroid: (-397.91377, -77.55491)}
{Building: Enterprise Square, Campus: Enterprise Square, Floor: Level 4, Room: Washroom Men, Centroid: (395.34934, -73.89805)}
{Building: Enterprise Square, Campus: Enterprise Square, Floor: Level 4, Room: Washroom Women, Centroid: (-399.27112, -186.54458)}
{Building: Enterprise Square, Campus: Enterprise Square, Floor: Level 4, Room: Washroom Women, Centroid: (396.82967, -153.89177)}
{Building: Enterprise Square, Campus: Enterprise Square, Floor: Level 4, Room: X, Centroid: (-454.08552, 198.38191)}
{Building: Enterprise Square, Campus: Enterprise Square, Floor: Level 4, Room: X, Centroid: (293.01168, -486.16881)}
{Building: Enterprise Square, Campus: Enterprise Square, Floor: Level 4, Room: X, Centroid: (-241.22026, 385.8842)}
{Building: Enterprise Square, Campus: Enterprise Square, Floor: Level 4, Room: X, Centroid: (321.94446, -425.45969)}
{Building: Enterprise Square, Campus: Enterprise Square, Floor: Level 4, Room: X, Centroid: (247.62539, -172.49814)}
{Building: Enterprise Square, Campus: Enterprise Square, Floor: Level 4, Room: X, Centroid: (247.62539, -84.68784)}
{Building: Enterprise Square, Campus: Enterprise Square, Floor: Level 4, Room: X, Centroid: (241.53258, 190.03511)}
{Building: Enterprise Square, Campus: Enterprise Square, Floor: Level 4, Room: X, Centroid: (383.79094, -198.39443)}
{Building: Enterprise Square, Campus: Enterprise Square, Floor: Level 4, Room: X, Centroid: (497.52656, -23.48967)}
{Building: Enterprise Square, Campus: Enterprise Square, Floor: Level 4, Room: X, Centroid: (-506.81184, -41.12007)}
{Building: Enterprise Square, Campus: Enterprise Square, Floor: Level 4, Room: X, Centroid: (-386.95407, -142.91903)}
{Building: Enterprise Square, Campus: Enterprise Square, Floor: Level 4, Room: X, Centroid: (43.39485, 319.81645)}
{Building: Enterprise Square, Campus: Enterprise Square, Floor: Level 4, Room: X, Centroid: (241.53258, 12.57026)}
{Building: Enterprise Square, Campus: Enterprise Square, Floor: Level 4, Room: X, Centroid: (-291.64015, 189.88835)}
{Building: Enterprise Square, Campus: Enterprise Square, Floor: Level 4, Room: X, Centroid: (451.186, 105.83782)}
{Building: Enterprise Square, Campus: Enterprise Square, Floor: Level 4, Room: X, Centroid: (189.73812, -364.15226)}
{Building: Enterprise Square, Campus: Enterprise Square, Floor: Level 4, Room: X, Centroid: (-472.16938, -115.22548)}
{Building: Enterprise Square, Campus: Enterprise Square, Floor: Level 4, Room: X, Centroid: (-36.31279, 189.88835)}
{Building: Enterprise Square, Campus: Enterprise Square, Floor: Level 4, Room: X, Centroid: (-23.94029, -351.49158)}
{Building: Enterprise Square, Campus: Enterprise Square, Floor: Level 4, Room: X, Centroid: (451.186, 199.29027)}
{Building: Enterprise Square, Campus: Enterprise Square, Floor: Level 4, Room: X, Centroid: (43.03255, -100.206)}
{Building: Enterprise Square, Campus: Enterprise Square, Floor: Level 4, Room: X, Centroid: (-129.61782, 189.88835)}
{Building: Enterprise Square, Campus: Enterprise Square, Floor: Level 4, Room: X, Centroid: (407.69898, -430.96378)}
{Building: Enterprise Square, Campus: Enterprise Square, Floor: Level 4, Room: X, Centroid: (128.91913, 421.3444)}
{Building: Enterprise Square, Campus: Enterprise Square, Floor: Level 4, Room: X, Centroid: (557.29743, 355.0453)}
{Building: Enterprise Square, Campus: Enterprise Square, Floor: Level 4, Room: X, Centroid: (93.82196, 160.28418)}
{Building: Enterprise Square, Campus: Enterprise Square, Floor: Level 4, Room: X, Centroid: (507.5841, -285.25568)}
{Building: Enterprise Square, Campus: Enterprise Square, Floor: Level 4, Room: X, Centroid: (168.59442, -430.96378)}
{Building: Enterprise Square, Campus: Enterprise Square, Floor: Level 4, Room: X, Centroid: (475.43254, 265.32027)}
{Building: Enterprise Square, Campus: Enterprise Square, Floor: Level 4, Room: X, Centroid: (241.53258, 105.55523)}
{Building: Enterprise Square, Campus: Enterprise Square, Floor: Level 4, Room: X, Centroid: (-214.77393, 189.88835)}
{Building: Enterprise Square, Campus: Enterprise Square, Floor: Level 4, Room: X, Centroid: (398.92099, 383.39759)}
{Building: Enterprise Square, Campus: Enterprise Square, Floor: Level 4, Room: X, Centroid: (234.5912, 334.0617)}
{Building: Enterprise Square, Campus: Enterprise Square, Floor: Level 4, Room: X, Centroid: (183.73305, -265.16834)}
{Building: Enterprise Square, Campus: Enterprise Square, Floor: Level 4, Room: X, Centroid: (407.69898, -364.15226)}
{Building: Enterprise Square, Campus: Enterprise Square, Floor: Level 4, Room: X, Centroid: (-454.08552, 106.02599)}
{Building: Enterprise Square, Campus: Enterprise Square, Floor: Level 4, Room: X, Centroid: (124.08038, 329.96423)}
{Building: Enterprise Square, Campus: Enterprise Square, Floor: Level 4, Room: X, Centroid: (469.11465, -111.12984)}
{Building: Enterprise Square, Campus: Enterprise Square, Floor: Level 4, Room: X, Centroid: (98.76835, -137.40999)}
{Building: Enterprise Square, Campus: Enterprise Square, Floor: Level 4, Room: None, Centroid: None}
{Building: Assiniboia Hall, Campus: North Campus, Floor: Level 1, Room: 1-02, Centroid: (-506.62373, -109.8012)}
{Building: Assiniboia Hall, Campus: North Campus, Floor: Level 1, Room: 1-05, Centroid: (-560.4585, 87.11394)}
{Building: Assiniboia Hall, Campus: North Campus, Floor: Level 1, Room: 1-07, Centroid: (-560.4585, 135.36218)}
{Building: Assiniboia Hall, Campus: North Campus, Floor: Level 1, Room: 1-11, Centroid: (-536.76336, 195.88766)}
{Building: Assiniboia Hall, Campus: North Campus, Floor: Level 1, Room: 1-13, Centroid: (-425.22086, 197.98395)}
{Building: Assiniboia Hall, Campus: North Campus, Floor: Level 1, Room: 1-15, Centroid: (-351.32106, 197.98395)}
{Building: Assiniboia Hall, Campus: North Campus, Floor: Level 1, Room: 1-17, Centroid: (-295.11885, 197.98395)}
{Building: Assiniboia Hall, Campus: North Campus, Floor: Level 1, Room: 1-22, Centroid: (-302.00173, 83.92412)}
{Building: Assiniboia Hall, Campus: North Campus, Floor: Level 1, Room: 1-23, Centroid: (-165.82108, 197.98395)}
{Building: Assiniboia Hall, Campus: North Campus, Floor: Level 1, Room: 1-26, Centroid: (-161.84367, 80.60964)}
{Building: Assiniboia Hall, Campus: North Campus, Floor: Level 1, Room: 1-34, Centroid: (298.88341, 83.92412)}
{Building: Assiniboia Hall, Campus: North Campus, Floor: Level 1, Room: 1-36, Centroid: (358.78026, 83.92412)}
{Building: Assiniboia Hall, Campus: North Campus, Floor: Level 1, Room: 1-42, Centroid: (432.99013, 197.98395)}
{Building: Assiniboia Hall, Campus: North Campus, Floor: Level 1, Room: 1-50, Centroid: (506.42794, -108.38114)}
{Building: Assiniboia Hall, Campus: North Campus, Floor: Level 1, Room: Building Outline, Centroid: (-0.04116, 65.63104)}
{Building: Assiniboia Hall, Campus: North Campus, Floor: Level 1, Room: Elevator, Centroid: (101.50769, 197.98395)}
{Building: Assiniboia Hall, Campus: North Campus, Floor: Level 1, Room: Hallway, Centroid: (-38.2253, 124.90395)}
{Building: Assiniboia Hall, Campus: North Campus, Floor: Level 1, Room: Hole, Centroid: (205.8788, 197.98395)}
{Building: Assiniboia Hall, Campus: North Campus, Floor: Level 1, Room: Hole, Centroid: (160.10681, 80.5153)}
{Building: Assiniboia Hall, Campus: North Campus, Floor: Level 1, Room: Stairs, Centroid: (-3.69318, 197.98395)}
{Building: Assiniboia Hall, Campus: North Campus, Floor: Level 1, Room: Stairs, Centroid: (429.73621, 44.57503)}
{Building: Assiniboia Hall, Campus: North Campus, Floor: Level 1, Room: Stairs, Centroid: (-430.85571, 44.34354)}
{Building: Assiniboia Hall, Campus: North Campus, Floor: Level 1, Room: All-Gender Washroom, Centroid: (-413.91336, 104.03146)}
{Building: Assiniboia Hall, Campus: North Campus, Floor: Level 1, Room: All-Gender Washroom, Centroid: (464.59087, 103.64729)}
{Building: Assiniboia Hall, Campus: North Campus, Floor: Level 1, Room: Washroom Women, Centroid: (413.41311, 103.64729)}
{Building: Assiniboia Hall, Campus: North Campus, Floor: Level 1, Room: Washroom Women, Centroid: (-465.1871, 104.03146)}
{Building: Assiniboia Hall, Campus: North Campus, Floor: Level 1, Room: X, Centroid: (30.31149, 83.21007)}
{Building: Assiniboia Hall, Campus: North Campus, Floor: Level 1, Room: 128, Centroid: (-34.61777, 82.86868)}
{Building: Assiniboia Hall, Campus: North Campus, Floor: Level 1, Room: X, Centroid: (-362.63111, 83.92412)}
{Building: Assiniboia Hall, Campus: North Campus, Floor: Level 1, Room: X, Centroid: (560.56461, 54.14257)}
{Building: Assiniboia Hall, Campus: North Campus, Floor: Level 1, Room: X, Centroid: (560.56461, 124.43245)}
{Building: Assiniboia Hall, Campus: North Campus, Floor: Level 1, Room: None, Centroid: None}
{Building: Assiniboia Hall, Campus: North Campus, Floor: Level 2, Room: 2-02, Centroid: (-506.23816, -112.32574)}
{Building: Assiniboia Hall, Campus: North Campus, Floor: Level 2, Room: 2-13, Centroid: (-560.2607, 86.06315)}
{Building: Assiniboia Hall, Campus: North Campus, Floor: Level 2, Room: 2-15, Centroid: (-535.11305, 195.96657)}
{Building: Assiniboia Hall, Campus: North Campus, Floor: Level 2, Room: 2-19, Centroid: (-435.93008, 195.96657)}
{Building: Assiniboia Hall, Campus: North Campus, Floor: Level 2, Room: 2-21, Centroid: (-361.80094, 195.96657)}
{Building: Assiniboia Hall, Campus: North Campus, Floor: Level 2, Room: 2-22, Centroid: (-356.14729, 79.87374)}
{Building: Assiniboia Hall, Campus: North Campus, Floor: Level 2, Room: 2-23, Centroid: (-292.15973, 195.96657)}
{Building: Assiniboia Hall, Campus: North Campus, Floor: Level 2, Room: 2-24, Centroid: (-293.5553, 79.87374)}
{Building: Assiniboia Hall, Campus: North Campus, Floor: Level 2, Room: 2-25, Centroid: (-233.89363, 195.96657)}
{Building: Assiniboia Hall, Campus: North Campus, Floor: Level 2, Room: 2-26, Centroid: (-229.45698, 79.87374)}
{Building: Assiniboia Hall, Campus: North Campus, Floor: Level 2, Room: 2-27, Centroid: (-172.26953, 198.22179)}
{Building: Assiniboia Hall, Campus: North Campus, Floor: Level 2, Room: 2-28, Centroid: (-163.14611, 77.21392)}
{Building: Assiniboia Hall, Campus: North Campus, Floor: Level 2, Room: 2-29, Centroid: (-98.01767, 211.15362)}
{Building: Assiniboia Hall, Campus: North Campus, Floor: Level 2, Room: 2-30, Centroid: (-90.4781, 87.92623)}
{Building: Assiniboia Hall, Campus: North Campus, Floor: Level 2, Room: 2-40, Centroid: (148.90702, 76.07234)}
{Building: Assiniboia Hall, Campus: North Campus, Floor: Level 2, Room: 2-43, Centroid: (227.6334, 195.96657)}
{Building: Assiniboia Hall, Campus: North Campus, Floor: Level 2, Room: 2-44, Centroid: (291.94332, 79.87374)}
{Building: Assiniboia Hall, Campus: North Campus, Floor: Level 2, Room: 2-45, Centroid: (291.94332, 195.96657)}
{Building: Assiniboia Hall, Campus: North Campus, Floor: Level 2, Room: 2-46, Centroid: (354.5762, 79.87374)}
{Building: Assiniboia Hall, Campus: North Campus, Floor: Level 2, Room: 2-47, Centroid: (356.07586, 195.96657)}
{Building: Assiniboia Hall, Campus: North Campus, Floor: Level 2, Room: 2-51, Centroid: (418.60099, 195.96657)}
{Building: Assiniboia Hall, Campus: North Campus, Floor: Level 2, Room: 2-55, Centroid: (546.65974, 195.96657)}
{Building: Assiniboia Hall, Campus: North Campus, Floor: Level 2, Room: 2-59, Centroid: (558.87973, 79.10207)}
{Building: Assiniboia Hall, Campus: North Campus, Floor: Level 2, Room: 2-63, Centroid: (558.87973, -20.01436)}
{Building: Assiniboia Hall, Campus: North Campus, Floor: Level 2, Room: 2-64, Centroid: (452.07641, -20.24453)}
{Building: Assiniboia Hall, Campus: North Campus, Floor: Level 2, Room: 2-65, Centroid: (558.87973, -86.64608)}
{Building: Assiniboia Hall, Campus: North Campus, Floor: Level 2, Room: 2-66, Centroid: (452.07641, -86.64608)}
{Building: Assiniboia Hall, Campus: North Campus, Floor: Level 2, Room: 2-67, Centroid: (558.87973, -145.90444)}
{Building: Assiniboia Hall, Campus: North Campus, Floor: Level 2, Room: 2-68, Centroid: (452.07641, -145.90444)}
{Building: Assiniboia Hall, Campus: North Campus, Floor: Level 2, Room: 2-69, Centroid: (554.71156, -207.69739)}
{Building: Assiniboia Hall, Campus: North Campus, Floor: Level 2, Room: 2-70, Centroid: (456.24407, -207.69465)}
{Building: Assiniboia Hall, Campus: North Campus, Floor: Level 2, Room: Building Outline, Centroid: (0.53625, 66.22496)}
