{Building: Education Centre South, Campus: North Campus, Floor: Level -1, Room: B02, Centroid: (493.02801, -182.59407)}
{Building: Education Centre South, Campus: North Campus, Floor: Level -1, Room: B03, Centroid: (420.36317, -154.47694)}
{Building: Education Centre South, Campus: North Campus, Floor: Level -1, Room: B06, Centroid: (432.8757, -227.1136)}
{Building: Education Centre South, Campus: North Campus, Floor: Level -1, Room: B106, Centroid: (-38.53372, -151.12414)}
{Building: Education Centre South, Campus: North Campus, Floor: Level -1, Room: B107, Centroid: (-61.11625, -151.12414)}
{Building: Education Centre South, Campus: North Campus, Floor: Level -1, Room: B108, Centroid: (-85.33295, -151.12414)}
{Building: Education Centre South, Campus: North Campus, Floor: Level -1, Room: B18, Centroid: (314.17098, -227.1136)}
{Building: Education Centre South, Campus: North Campus, Floor: Level -1, Room: B19, Centroid: (311.72091, -138.181)}
{Building: Education Centre South, Campus: North Campus, Floor: Level -1, Room: B20, Centroid: (257.62295, -227.1136)}
{Building: Education Centre South, Campus: North Campus, Floor: Level -1, Room: B21, Centroid: (230.58287, -214.0754)}
{Building: Education Centre South, Campus: North Campus, Floor: Level -1, Room: B22, Centroid: (196.4687, -246.72406)}
{Building: Education Centre South, Campus: North Campus, Floor: Level -1, Room: B23, Centroid: (232.87601, -126.47902)}
{Building: Education Centre South, Campus: North Campus, Floor: Level -1, Room: B28, Centroid: (174.21477, -211.39999)}
{Building: Education Centre South, Campus: North Campus, Floor: Level -1, Room: B53, Centroid: (-109.01127, -138.181)}
{Building: Education Centre South, Campus: North Campus, Floor: Level -1, Room: B64, Centroid: (-211.25279, -168.99368)}
{Building: Education Centre South, Campus: North Campus, Floor: Level -1, Room: B70, Centroid: (-304.26753, -228.6821)}
{Building: Education Centre South, Campus: North Campus, Floor: Level -1, Room: B76, Centroid: (-404.39543, -228.6821)}
{Building: Education Centre South, Campus: North Campus, Floor: Level -1, Room: B77, Centroid: (-402.13105, -130.79493)}
{Building: Education Centre South, Campus: North Campus, Floor: Level -1, Room: Building Outline, Centroid: (-9.51312, -42.89263)}
{Building: Education Centre South, Campus: North Campus, Floor: Level -1, Room: Dressing Room Men, Centroid: (-534.88653, -25.96523)}
{Building: Education Centre South, Campus: North Campus, Floor: Level -1, Room: Dressing Room Women, Centroid: (-533.56289, 55.71635)}
{Building: Education Centre South, Campus: North Campus, Floor: Level -1, Room: Elevator, Centroid: (460.64959, 45.16168)}
{Building: Education Centre South, Campus: North Campus, Floor: Level -1, Room: GB03, Centroid: (-420.41711, 72.63347)}
