{Campus: North Campus, Building: Athabasca Hall, Floor: Level 2, Neighbors: [252 & Building Outline]}
{Campus: North Campus, Building: Athabasca Hall, Floor: Level 2, Neighbors: [252 & Hallway]}
{Campus: North Campus, Building: Athabasca Hall, Floor: Level 2, Neighbors: [252 & Stairs]}
{Campus: North Campus, Building: Athabasca Hall, Floor: Level 2, Neighbors: [252 & X]}
{Campus: North Campus, Building: Athabasca Hall, Floor: Level 2, Neighbors: [Building Outline & Entrance]}
{Campus: North Campus, Building: Athabasca Hall, Floor: Level 2, Neighbors: [Building Outline & Entrance]}
{Campus: North Campus, Building: Athabasca Hall, Floor: Level 2, Neighbors: [Building Outline & Hallway]}
{Campus: North Campus, Building: Athabasca Hall, Floor: Level 2, Neighbors: [Building Outline & Stairs]}
{Campus: North Campus, Building: Athabasca Hall, Floor: Level 2, Neighbors: [Building Outline & Stairs]}
{Campus: North Campus, Building: Athabasca Hall, Floor: Level 2, Neighbors: [Building Outline & Stairs]}
{Campus: North Campus, Building: Athabasca Hall, Floor: Level 2, Neighbors: [Building Outline & Stairs]}
{Campus: North Campus, Building: Athabasca Hall, Floor: Level 2, Neighbors: [Building Outline & 224]}
{Campus: North Campus, Building: Athabasca Hall, Floor: Level 2, Neighbors: [Building Outline & X]}
{Campus: North Campus, Building: Athabasca Hall, Floor: Level 2, Neighbors: [Building Outline & X]}
{Campus: North Campus, Building: Athabasca Hall, Floor: Level 2, Neighbors: [Building Outline & X]}
{Campus: North Campus, Building: Athabasca Hall, Floor: Level 2, Neighbors: [Entrance & Stairs]}
{Campus: North Campus, Building: Athabasca Hall, Floor: Level 2, Neighbors: [Entrance & X]}
{Campus: North Campus, Building: Athabasca Hall, Floor: Level 2, Neighbors: [Elevator & Hallway]}
{Campus: North Campus, Building: Athabasca Hall, Floor: Level 2, Neighbors: [Elevator & X]}
{Campus: North Campus, Building: Athabasca Hall, Floor: Level 2, Neighbors: [Hallway & Stairs]}
{Campus: North Campus, Building: Athabasca Hall, Floor: Level 2, Neighbors: [Hallway & Stairs]}
{Campus: North Campus, Building: Athabasca Hall, Floor: Level 2, Neighbors: [Hallway & Stairs]}
{Campus: North Campus, Building: Athabasca Hall, Floor: Level 2, Neighbors: [Hallway & Stairs]}
{Campus: North Campus, Building: Athabasca Hall, Floor: Level 2, Neighbors: [Hallway & AllGender Washroom]}
{Campus: North Campus, Building: Athabasca Hall, Floor: Level 2, Neighbors: [Hallway & Washroom Men]}
{Campus: North Campus, Building: Athabasca Hall, Floor: Level 2, Neighbors: [Hallway & Washroom Women]}
{Campus: North Campus, Building: Athabasca Hall, Floor: Level 2, Neighbors: [Hallway & 224]}
{Campus: North Campus, Building: Athabasca Hall, Floor: Level 2, Neighbors: [Hallway & X]}
{Campus: North Campus, Building: Athabasca Hall, Floor: Level 2, Neighbors: [Hallway & X]}
{Campus: North Campus, Building: Athabasca Hall, Floor: Level 2, Neighbors: [Hallway & X]}
{Campus: North Campus, Building: Athabasca Hall, Floor: Level 2, Neighbors: [Hallway & X]}
{Campus: North Campus, Building: Athabasca Hall, Floor: Level 2, Neighbors: [Stairs & AllGender Washroom]}
{Campus: North Campus, Building: Athabasca Hall, Floor: Level 2, Neighbors: [Stairs & X]}
{Campus: North Campus, Building: Athabasca Hall, Floor: Level 2, Neighbors: [Stairs & Washroom Men]}
{Campus: North Campus, Building: Athabasca Hall, Floor: Level 2, Neighbors: [Stairs & Washroom Women]}
{Campus: North Campus, Building: Athabasca Hall, Floor: Level 2, Neighbors: [Washroom Men & Washroom Women]}
